,rt_score,rt_avg_rating,rt_audience_score,rt_user_rating,rt_avg_aud_rating,rt_fresh,rt_rotten
1554,20%,2/10,17%,"1,241",1.8/5,3,12
1555,0,0,0,0,0,0,0
1556,6%,4/10,26%,"6,229",2.3/5,2,33
1557,12%,1/10,37%,"5,434",2.6/5,21,151
1558,0,0,0,0,0,0,0
1559,,,28%,160,2.2/5,0,0
1560,0,0,0,0,0,0,0
1561,0,0,0,0,0,0,0
1562,11%,3/10,48%,"27,376",3/5,21,165
1563,15%,7/10,43%,"324,383",3.1/5,32,176
1564,0,0,0,0,0,0,0
1565,,,42%,"7,512",3.1/5,0,0
1566,,,24%,403,2.3/5,0,0
1567,7%,2/10,20%,"2,124",1.7/5,5,66
1568,92%,3/10,69%,"5,542",3.5/5,23,2
1569,0%,6/10,50%,45,2.9/5,0,16
1570,19%,7/10,16%,698,1.9/5,5,22
1571,11%,8/10,36%,"121,711",2.8/5,23,179
1572,11%,4/10,16%,274,1.9/5,5,40
1573,4%,2/10,24%,"35,457",2.1/5,3,80
1574,13%,7/10,29%,81,2.7/5,1,7
1575,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0
1577,9%,5/10,14%,603,1.6/5,2,21
1578,0,0,0,0,0,0,0
1579,27%,5/10,45%,"759,048",3.1/5,57,153
1580,12%,6/10,24%,"53,974",2.4/5,8,61
1581,13%,1/10,44%,41,2.9/5,1,7
1582,0,0,0,0,0,0,0
1583,,,26%,499,2.3/5,0,0
1584,23%,3/10,36%,"56,818",2.3/5,12,41
1585,17%,4/10,26%,"3,532",2.6/5,1,5
1586,0%,3/10,32%,"3,167",2.5/5,0,35
1587,5%,3/10,10%,136,1.5/5,1,20
1588,32%,5/10,23%,524,2.3/5,24,50
1589,,,52%,378,2.8/5,0,0
1590,16%,2/10,56%,"19,972",3.2/5,7,38
1591,0,0,0,0,0,0,0
1592,0,0,0,0,0,0,0
1593,,,27%,96,2.8/5,0,0
1594,20%,5/10,22%,"7,132",2.3/5,16,64
1595,10%,5/10,8%,"1,682",1.2/5,1,9
1596,0,0,0,0,0,0,0
1597,1%,8/10,19%,"128,802",2.2/5,1,72
1598,23%,5/10,34%,"4,554",2.7/5,13,44
1599,0%,6/10,33%,865,2.5/5,0,34
1600,62%,1/10,89%,"17,860",4.4/5,213,133
1601,96%,9/10,76%,"3,436",3.9/5,315,14
