,title_id,title,runtime,genre,certificate,imdb_rating,gross,year,votes,director_actor,metascore
2299,tt1901024,Dark Crimes,['92'],"Crime, Drama, Thriller",R,4.7,,(2016),7440,"Director:
Alexandros Avranas
| 
    Stars:
Jim Carrey, 
Marton Csokas, 
Charlotte Gainsbourg, 
Kati Outinen",
2300,tt1727824,Bohemian Rhapsody,['134'],"Biography, Drama, Music",PG-13,8.2,['206.74'],(2018),220348,"Director:
Bryan Singer
| 
    Stars:
Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy",
2301,tt6155172,Roma,['135'],Drama,R,8.0,,(2018),64331,"Director:
Alfonso Cuarón
| 
    Stars:
Yalitza Aparicio, 
Marina de Tavira, 
Diego Cortina Autrey, 
Carlos Peralta",96
2302,tt1517451,A Star Is Born,['136'],"Drama, Music, Romance",R,8.0,['206.91'],(2018),161418,"Director:
Bradley Cooper
| 
    Stars:
Lady Gaga, 
Bradley Cooper, 
Sam Elliott, 
Greg Grunberg",88
2303,tt6966692,Green Book,['130'],"Biography, Comedy, Drama",PG-13,8.3,['51.50'],(2018),41587,"Director:
Peter Farrelly
| 
    Stars:
Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco",70
2304,tt4633694,Spider-Man: Into the Spider-Verse,['117'],"Animation, Action, Adventure",PG,8.7,['170.88'],(2018),89749,"Directors:
Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman
| 
    Stars:
Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",87
2305,tt7961060,Dragon Ball Super: Broly,['100'],"Animation, Action, Fantasy",PG,8.4,['29.10'],(2018),9289,"Director:
Tatsuya Nagamine
| 
    Stars:
Masako Nozawa, 
Aya Hisakawa, 
Ryô Horikawa, 
Toshio Furukawa",
2306,tt4154756,Avengers: Infinity War,['149'],"Action, Adventure, Fantasy",PG-13,8.5,['678.82'],(2018),578010,"Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",68
2307,tt2386490,How to Train Your Dragon: The Hidden World,['104'],"Animation, Action, Adventure",PG,8.1,,(2019),5547,"Director:
Dean DeBlois
| 
    Stars:
Cate Blanchett, 
Gerard Butler, 
Kit Harington, 
Jonah Hill",72
2308,tt8291224,Uri: The Surgical Strike,['138'],"Action, Drama, War",Not Rated,9.1,['2.97'],(2019),15818,"Director:
Aditya Dhar
| 
    Stars:
Vicky Kaushal, 
Paresh Rawal, 
Yami Gautam, 
Mohit Raina",
2309,tt0468569,The Dark Knight,['152'],"Action, Crime, Drama",PG-13,9.0,['534.86'],(2008),2015091,"Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",84
2310,tt0111161,The Shawshank Redemption,['142'],Drama,R,9.3,['28.34'],(1994),2047826,"Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler",80
2311,tt0816692,Interstellar,['169'],"Adventure, Drama, Sci-Fi",PG-13,8.6,['188.02'],(2014),1255406,"Director:
Christopher Nolan
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy",74
2312,tt5027774,"Three Billboards Outside Ebbing, Missouri",['115'],"Comedy, Crime, Drama",R,8.2,['54.51'],(2017),317883,"Director:
Martin McDonagh
| 
    Stars:
Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones",88
2313,tt1375666,Inception,['148'],"Action, Adventure, Sci-Fi",PG-13,8.8,['292.58'],(2010),1794365,"Director:
Christopher Nolan
| 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Ellen Page, 
Ken Watanabe",74
2314,tt0110912,Pulp Fiction,['154'],"Crime, Drama",R,8.9,['107.93'],(1994),1600155,"Director:
Quentin Tarantino
| 
    Stars:
John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis",94
2315,tt1663202,The Revenant,['156'],"Action, Adventure, Biography",R,8.0,['183.64'],(2015),599670,"Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson",76
2316,tt2267998,Gone Girl,['149'],"Crime, Drama, Mystery",R,8.1,['167.77'],(2014),742228,"Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry",79
2317,tt0118715,The Big Lebowski,['117'],"Comedy, Crime",R,8.1,['17.50'],(1998),649446,"Directors:
Joel Coen, 
Ethan Coen
| 
    Stars:
Jeff Bridges, 
John Goodman, 
Julianne Moore, 
Steve Buscemi",71
2318,tt0068646,The Godfather,['175'],"Crime, Drama",R,9.2,['134.97'],(1972),1404559,"Director:
Francis Ford Coppola
| 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton",100
2319,tt7905466,They Shall Not Grow Old,['99'],"Documentary, History, War",R,8.5,['8.34'],(2018),7920,"Director:
Peter Jackson",92
2320,tt0109830,Forrest Gump,['142'],"Drama, Romance",PG-13,8.8,['330.25'],(1994),1566163,"Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field",82
2321,tt0082971,Raiders of the Lost Ark,['115'],"Action, Adventure",PG,8.5,['248.16'],(1981),793744,"Director:
Steven Spielberg
| 
    Stars:
Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies",85
2322,tt0120737,The Lord of the Rings: The Fellowship of the Ring,['178'],"Adventure, Drama, Fantasy",PG-13,8.8,['315.54'],(2001),1474925,"Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",92
2323,tt1856101,Blade Runner 2049,['164'],"Drama, Mystery, Sci-Fi",R,8.0,['92.05'],(2017),359611,"Director:
Denis Villeneuve
| 
    Stars:
Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",81
2324,tt2543472,Wonder,['113'],"Drama, Family",PG,8.0,['132.42'],(I) (2017),104041,"Director:
Stephen Chbosky
| 
    Stars:
Jacob Tremblay, 
Owen Wilson, 
Izabela Vidovic, 
Julia Roberts",66
2325,tt8075192,Shoplifters,['121'],"Crime, Drama",R,8.1,['2.62'],(2018),12590,"Director:
Hirokazu Koreeda
| 
    Stars:
Lily Franky, 
Sakura Andô, 
Mayu Matsuoka, 
Jyo Kairi",93
2326,tt0167404,The Sixth Sense,['107'],"Drama, Mystery, Thriller",PG-13,8.1,['293.51'],(1999),829790,"Director:
M. Night Shyamalan
| 
    Stars:
Bruce Willis, 
Haley Joel Osment, 
Toni Collette, 
Olivia Williams",64
2327,tt0993846,The Wolf of Wall Street,['180'],"Biography, Comedy, Crime",R,8.2,['116.90'],(2013),1006522,"Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey",75
2328,tt1201607,Harry Potter and the Deathly Hallows: Part 2,['130'],"Adventure, Drama, Fantasy",PG-13,8.1,['381.01'],(2011),676393,"Director:
David Yates
| 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon",87
2329,tt1345836,The Dark Knight Rises,['164'],"Action, Thriller",PG-13,8.4,['448.14'],(2012),1358650,"Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman",78
2330,tt7775622,Free Solo,['100'],Documentary,PG-13,8.6,['13.60'],(2018),4354,"Directors:
Jimmy Chin, 
Elizabeth Chai Vasarhelyi
| 
    Stars:
Tommy Caldwell, 
Jimmy Chin, 
Alex Honnold, 
Sanni McCandless",83
2331,tt0133093,The Matrix,['136'],"Action, Sci-Fi",R,8.7,['171.48'],(1999),1470351,"Directors:
Lana Wachowski, 
Lilly Wachowski
| 
    Stars:
Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving",73
